Row Labels,Max of Order Date,Count of Order ID,Average of Sales,
AA-10315,3/3/2021,4,1101.5175,1039
AA-10375,10/7/2021,4,132.5725,821
AA-10480,0,10,174.75,
AA-10645,4/9/2021,8,208.52375,1002
AB-10015,10/11/2021,2,281.97,817
AB-10060,1/9/2021,9,533.4244444,1092
AB-10105,2/2/2021,3,3467.956667,1068
AB-10150,0,1,15.55,
AB-10255,0,4,16.2525,
AC-10420,0,1,57.58,
AC-10450,0,3,414.6766667,
AC-10660,0,3,107.4133333,
AF-10870,6/5/2021,10,168.154,945
AF-10885,10/11/2021,2,26.85,817
AG-10270,0,10,237.473,
AG-10300,5/12/2021,1,81.94,969
AG-10330,3/8/2021,2,124.41,1034
AG-10390,1/12/2021,4,9.365,1089
AG-10495,0,1,19.3,
AG-10675,8/9/2021,6,504.3816667,880
AG-10900,8/12/2021,5,267.78,877
AH-10030,0,1,86.45,
AH-10075,0,6,220.185,
AH-10120,0,8,82.56875,
AH-10195,0,3,470.0233333,
AH-10210,0,1,16.5,
AH-10465,5/5/2021,1,71.09,976
AH-10585,0,1,35.4,
AH-10690,6/8/2021,9,640.5311111,942
AI-10855,10/11/2021,7,209.59,817
AJ-10780,0,1,7.43,
AJ-10795,12/9/2021,9,169.9833333,758
AJ-10945,0,1,301.96,
AM-10360,0,2,28.62,
AM-10705,0,3,421.38,
AO-10810,0,1,161.28,
AP-10720,8/9/2021,13,100.9176923,880
AP-10915,10/12/2021,11,121.7518182,816
AR-10510,0,1,89.97,
AR-10540,0,1,27.24,
AR-10570,0,2,44.075,
AR-10825,11/12/2021,5,419.23,785
AS-10045,0,2,254.535,
AS-10090,11/9/2021,8,77.60375,788
AS-10135,0,1,4.18,
AS-10225,2/12/2021,1,165.6,1058
AS-10240,7/4/2021,3,43.69333333,916
AS-10285,11/11/2021,7,442.5614286,786
AS-10630,0,1,13.28,
AT-10435,0,2,21.73,
AT-10735,9/9/2021,4,101.31,849
AW-10930,12/6/2021,9,185.4944444,761
AY-10555,0,1,66.98,
AZ-10750,5/2/2021,4,229.7425,979
BB-10990,1/4/2021,2,30.85,1097
BB-11545,11/11/2021,7,304.1857143,786
BC-11125,12/8/2021,6,66.58666667,759
BD-11320,0,9,274.6744444,
BD-11605,12/4/2021,4,154.9,763
BD-11620,8/3/2021,5,129.072,886
BD-11725,0,1,46.72,
BD-11770,11/11/2021,8,51.61375,786
BE-11335,0,2,51.46,
BE-11410,7/2/2021,3,580.4066667,918
BE-11455,6/5/2021,5,54.784,945
BF-10975,0,3,109.5133333,
BF-11005,5/5/2021,4,144.8925,976
BF-11020,7/7/2021,7,117.5085714,913
BF-11170,10/11/2021,6,247.3916667,817
BF-11215,9/6/2021,1,692.94,852
BG-11035,0,2,41.205,
BG-11695,0,2,842.74,
BG-11740,6/9/2021,3,132.5933333,941
BH-11710,3/3/2021,3,364.75,1039
BK-11260,11/11/2021,1,6.96,786
BM-11140,4/12/2021,8,111.61875,999
BM-11575,2/1/2021,3,144.6,1069
BM-11650,0,1,2.91,
BM-11785,0,4,117.0875,
BN-11515,0,5,164.244,
BO-11350,3/1/2021,3,548.7666667,1041
BP-11050,0,3,295.04,
BP-11095,0,2,34.475,
BP-11155,0,6,85.70666667,
BP-11185,12/9/2021,7,107.7171429,758
BP-11230,0,3,9.206666667,
BP-11290,12/4/2021,8,159.21125,763
BS-11365,0,5,1839.956,
BS-11590,0,1,33.4,
BS-11665,0,3,442.71,
BS-11755,0,4,233.4875,
BT-11395,0,1,9.58,
BT-11440,0,2,74.575,
BT-11485,11/3/2021,1,30.34,794
BT-11530,0,2,82.78,
BT-11680,10/4/2021,6,159.88,824
BV-11245,0,4,109.675,
BW-11110,10/12/2021,7,56.31428571,816
BW-11200,0,5,160.5,
CA-11965,0,1,1999.96,
CA-12055,8/8/2021,7,227.1228571,881
CA-12265,7/2/2021,2,53.915,918
CA-12310,3/1/2021,3,125.5466667,1041
CA-12775,11/12/2021,1,6.67,785
CB-12025,0,4,86.3675,
CB-12415,12/6/2021,7,243.0628571,761
